"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"430","true","false","true","10000","187.9833984375","988.438720703125","13"
"431","true","false","true","10000","345.44482421875","259.015625","14"
"432","true","false","true","10000","300.37109375","291.78515625","9"
"433","true","false","true","10000","226.71336364746094","637.521240234375","19"
"434","true","false","true","10000","180.8388671875","1052.8369140625","11"
"435","true","false","true","10000","187.26953125","1500.853515625","10"
"436","true","false","true","10000","242.1875","1591.65625","7"
"437","true","false","true","10000","325.7939453125","212.92962646484375","15"
"438","true","false","true","10000","376.849609375","424.30029296875","13"
"439","true","false","true","10000","328.33447265625","253.301025390625","13"
"440","true","false","true","10000","166.09375","1623.5625","6"
"441","true","false","true","10000","458.5787353515625","295.4501953125","14"
"443","true","false","true","10000","299.92529296875","129.6162109375","12"
"442","true","false","true","10000","227.359375","657.16796875","9"
